Examples:
for binary cyclic code (21,16): n=21, k=16, r=5;
g(x)=61 » 110 001 » x^5+x^4+1
for BCH code (7,4): n=7, k=4, r=3;
g(x)=13 » 1 011 » X^3+x+1 

----------------------------------------------------
      	n     	k     	r     	d    	g(x)
----------------------------------------------------
      	7     	4	3	3	13
	    	3	4	4	35
     	15    	11	4	3	23
           	10	5	4	65
		7	8	5	721
	17	9	8	5	727
		8	9	6	1171
	21	16	5	3	61
		15	6	4	123
		12	9	5	1663
		11	10	6	2531
		10	11	5	5031
		9	12	8	17053
		5	16	10	214537
	23	12	11	7	5343	
		11	12	8	17445
	25	5	20	5	4102041	
		4	21	10	14306143
	27	9	18	3	1001001
		8	19	6	3003003
	31	26	5	3	45	
		25	6	4	157	
		21	10	5	3551
		16	15	7	107657
		15	16	8	310361
		11	20	11	5423325
		6	25	15	313365047
		5	26	16	535437151
	33	23	10	3	3043
		22	11	6	5145
		21	12	3	17537
		20	13	6	17537
		20	13	6	20741
		13	20	10	4172741
		12	21	10	14217043
		11	22	11	25456465
		10	23	12	76563537	
	35	25	10	4	2656
		24	11	4	7637
		23	12	3	13627
		20	15	6	147257
		19	16	6	251761
		18	17	4	735235
		17	18	6	1532051
		16	19	7	2433361
		15	20	8	7455423
		11	24	5	143676743
		10	25	10	244303045
	39	27	12	3	13617
		26	13	6	34221
		25	14	3	55263
		24	15	6	167725
		15	24	10	153651205
		14	25	10	274373617
		13	26	12	426136633
	41	21	20	9	6647133
		20	21	10	13351355
	43	29	14	6	64213
		28	15	6	134635
		15	28	13	2607043415
		14	29	14	7211144427
	45	35	10	4	2113
		29	16	5	230213
		25	20	5	7217531
		24	21	6	11620753
		23	22	7	21113023
		22	23	8	63335065
		21	24	3	110111011
		20	25	6	330333033
	47	24	23	11	43073357
		23	24	12	145115461
	49	28	21	3	10040001
		27	22	4	30140003
		21	28	4	2010040001
	51	43	8	3	433
		35	16	5	266251
		33	18	6	1403537
		32	19	6	2020213
		27	24	9	134531443
		26	25	10	242245105
		24	27	10	1762776477
		19	32	14	50112257553
		18	33	14	170336760675
		10	41	18	62066722733023
	55	35	20	5	716455
		34	21	8	11235667
	57	39	18	3	1341035
		38	19	6	3443047
